avoir|ai|as|a|avons|avez|ont|
aller|vais|vas|va|allons|allez|vont|
boire|bois|bois|boit|buvons|buvez|boivent|
connaître|connais|connais|connaît|connaissons|connaissez|connaissent|
courir|cours|cours|court|courons|courez|courent|
devoir|dois|dois|doit|devons|devez|doivent|
dire|dis|dis|dit|disons|dites|disent|
être|suis|es|est|sommes|êtes|sont|
faire|fait|fais|fait|faisons|faites|font|
lire|lis|lis|lit|lisons|lisez|lisent|
partir|pars|pars|part|partons|partez|partent|
pouvoir|peux|peux|peut|pouvons|pouvez|peuvent|
prendre|prends|prends|prend|prenons|prenez|prennent|
savoir|sais|sais|sait|savons|savez|savent|
venir|viens|viens|vient|venons|venez|viennent|
voir|vois|vois|voit|voyons|voyez|voient|
vouloir|veux|veux|veut|voulons|voulez|veulent|
